Lead ID,Cost Per Lead,Requested Loan Amount,Time in Business (Months),Annual Revenue Amount,SelfGradedCredit,State,Business Type,Creation Date,Create Time,Lead Status,Conversion Status,Funded Amount,Funded Revenue
503969753,60,74999,41,246000,Excellent,VA,A Corp,9/6/17,7:47:00 AM,Activated,,,
503969922,60,75000,31,120000,Poor,MD,A Corp,9/6/17,5:17:00 PM,Activated,,,
503970001,60,8500,30,100000,Poor,AL,B Corp,9/6/17,11:14:00 AM,Failed,,,
503970220,60,149999,86,200000,Poor,PA,E Corp,9/6/17,8:05:00 AM,Open,,,
503970462,60,20000,51,350000,Good,WA,A Corp,9/6/17,8:14:00 AM,Open,,,
503970589,60,100000,45,245000,Good,CA,C Corp,9/6/17,8:20:00 AM,Open,,,
503970656,60,20000,23,350000,Good,FL,A Corp,9/6/17,8:23:00 AM,Failed,,,
503970963,60,74999,17,600000,Fair,NJ,A Corp,9/6/17,8:32:00 AM,Confirmed,Funded,25000.0,4250.0
503993440,60,14999,43,446545,Good,NY,C Corp,9/7/17,5:05:00 AM,Failed,,,
503993483,60,100000,150,150000,Good,LA,B Corp,9/7/17,5:11:00 AM,Open,,,
503993634,60,25000,30,150000,Fair,NC,A Corp,9/7/17,5:23:00 AM,Failed,,,
503993644,60,180000,392,150000,Fair,LA,C Corp,9/7/17,5:23:00 AM,Activated,,,
503993827,25,44999,17,125266,Fair,FL,A Corp,9/7/17,5:38:00 AM,Activated,,,
503993987,60,29999,29,100000,Fair,FL,A Corp,9/7/17,5:50:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
503994403,60,210000,571,190000,Excellent,WA,B Corp,9/7/17,6:17:00 AM,Failed,,,
503994485,60,149999,124,2500000,Poor,DE,C Corp,9/7/17,6:20:00 AM,Failed,,,
503994514,60,200000,30,360000,Good,TX,B Corp,9/7/17,6:23:00 AM,Failed,,,
503995613,60,150000,123,375000,Good,WA,C Corp,9/7/17,7:08:00 AM,Failed,,,
504023911,60,10000,243,100000,Poor,GA,B Corp,9/8/17,5:02:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504023951,60,14999,522,1000000,Good,NJ,C Corp,9/8/17,5:05:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504023998,60,14999,155,180000,Poor,PA,A Corp,9/8/17,5:11:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504024494,60,14999,270,3100000,Good,FL,E Corp,9/8/17,5:47:00 AM,Open,,,
504024538,60,20000,29,350000,Poor,MN,B Corp,9/8/17,5:53:00 AM,Failed,,,
504024775,25,50000,23,100000,Good,VA,A Corp,9/8/17,6:08:00 AM,Failed,,,
504024776,60,29999,17,230000,Good,NC,A Corp,9/8/17,6:08:00 AM,Open,,,
504025914,25,29999,19,100000,Poor,CO,A Corp,9/8/17,6:59:00 AM,Failed,,,
504027179,60,14999,52,170000,Good,GA,A Corp,9/8/17,7:53:00 AM,Open,,,
504027773,60,14999,53,117000,Good,CT,A Corp,9/8/17,8:17:00 AM,Open,,,
504028494,60,149999,47,220000,Poor,MD,A Corp,9/8/17,8:47:00 AM,Activated,,,
504028611,60,14999,44,100000,Excellent,NY,A Corp,9/8/17,8:50:00 AM,Failed,,,
504028727,60,74999,68,500000,Fair,CA,A Corp,9/8/17,8:53:00 AM,Confirmed,Lost,0.0,0.0
504028909,60,74999,41,150000,Poor,NY,E Corp,9/8/17,9:02:00 AM,Open,,,
504028956,60,44999,48,100000,Excellent,NJ,A Corp,9/8/17,9:05:00 AM,Failed,,,
504029173,60,44999,80,500000,Fair,FL,A Corp,9/8/17,9:11:00 AM,Activated,,,
504029507,60,29999,25,450000,Fair,TX,A Corp,9/8/17,9:23:00 AM,Confirmed,Declined/Not Eligible,0.0,0.0
504029526,60,29999,105,550000,Excellent,IL,E Corp,9/8/17,4:06:00 PM,Open,,,
504029765,25,29999,20,100000,Good,RI,E Corp,9/8/17,9:32:00 AM,Failed,,,
504029920,60,149999,123,900000,Poor,MD,A Corp,9/8/17,9:38:00 AM,Activated,,,
504029968,25,25000,17,180000,Fair,NY,C Corp,9/8/17,9:41:00 AM,Activated,,,
504030209,60,10000,31,150000,Poor,NV,A Corp,9/8/17,9:50:00 AM,Activated,,,
504030211,60,29999,41,1098000,Excellent,TX,A Corp,9/8/17,9:50:00 AM,Failed,,,
504030283,60,74999,423,200000,Poor,VA,A Corp,9/8/17,9:53:00 AM,Failed,,,
504030427,60,149999,68,198000,Excellent,MI,E Corp,9/8/17,11:22:00 AM,Failed,,,
504030947,60,149999,64,123000,Poor,OH,A Corp,9/8/17,10:17:00 AM,Failed,,,
504031069,60,149999,158,1000000,Good,MN,E Corp,9/8/17,10:23:00 AM,Failed,,,
